Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_Actual,Attrition_Probability,Attrition_Prediction,Risk_Tier,AI_Displacement_Score,AI_Displacement_Tier,Quadrant
34,Travel_Rarely,470,Research & Development,2,4,Life Sciences,4,1,84,2,2,Manufacturing Director,1,Married,5957,23687,6,0,13,3,2,1,13,3,3,11,9,5,9,0,0.005167741,0,Low,35.4,Medium,Stable
25,Travel_Rarely,583,Sales,4,1,Marketing,3,1,87,2,2,Sales Executive,1,Married,4256,18154,1,0,12,3,1,0,5,1,4,5,2,0,3,0,0.06565386,0,Low,50.4,Medium,Restructuring Candidate
58,Travel_Rarely,289,Research & Development,2,3,Technical Degree,4,1,51,3,1,Research Scientist,3,Single,2479,26227,4,0,24,4,1,0,7,4,3,1,0,0,0,1,0.051416334,0,Low,29.4,Low,Stable
32,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,1,80,4,1,Research Scientist,2,Divorced,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,0,0.007872631,0,Low,29.4,Low,Stable
35,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,84,4,1,Laboratory Technician,2,Married,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,0,0.039518684,0,Low,68.4,High,Restructuring Candidate
42,Travel_Rarely,933,Research & Development,29,3,Life Sciences,2,1,98,3,2,Manufacturing Director,2,Married,4434,11806,1,0,13,3,4,1,10,3,2,9,8,7,8,0,0.0051888735,0,Low,35.4,Medium,Stable
32,Travel_Rarely,515,Research & Development,1,3,Life Sciences,4,1,62,2,1,Laboratory Technician,3,Single,3730,9571,0,1,14,3,4,0,4,2,1,3,2,1,2,1,0.07890159,0,Low,68.4,High,Restructuring Candidate
37,Travel_Rarely,1141,Research & Development,11,2,Medical,1,0,61,1,2,Healthcare Representative,2,Married,4777,14382,5,0,15,3,1,0,15,2,1,1,0,0,0,1,0.96560925,1,High,38.8,Medium,Retention Priority
36,Travel_Rarely,928,Sales,1,2,Life Sciences,2,1,56,3,2,Sales Executive,4,Married,6201,2823,1,1,14,3,4,1,18,1,2,18,14,4,11,0,0.0027761196,0,Low,50.4,Medium,Restructuring Candidate
31,Travel_Frequently,1125,Research & Development,1,3,Life Sciences,4,1,48,1,2,Research Scientist,1,Married,5003,5771,1,0,21,4,2,0,10,6,3,10,8,8,7,0,0.36828607,0,Medium,29.4,Low,Stable
28,Travel_Rarely,1181,Research & Development,1,3,Life Sciences,3,1,82,3,1,Research Scientist,4,Married,2044,5531,1,0,11,3,3,1,5,6,4,5,3,0,3,0,0.0011911364,0,Low,29.4,Low,Stable
41,Travel_Rarely,334,Sales,2,4,Life Sciences,4,1,88,3,4,Manager,2,Single,16015,15896,1,0,19,3,2,0,22,2,3,22,10,0,4,0,0.0020411683,0,Low,25.4,Low,Stable
40,Travel_Rarely,299,Sales,25,4,Marketing,4,1,57,2,3,Sales Executive,2,Single,9094,17235,2,1,12,3,3,0,9,2,3,5,4,1,0,1,0.95475054,1,High,50.4,Medium,Double Exposure
33,Travel_Rarely,1075,Human Resources,3,2,Human Resources,4,1,57,3,1,Human Resources,2,Divorced,2277,22650,3,1,11,3,3,1,7,4,4,4,3,0,3,0,0.34764072,0,Medium,55.2,Medium,Restructuring Candidate
32,Non-Travel,976,Sales,26,4,Marketing,3,1,100,3,2,Sales Executive,4,Married,4465,12069,0,0,18,3,1,0,4,2,3,3,2,2,2,0,0.017599128,0,Low,50.4,Medium,Restructuring Candidate
38,Travel_Rarely,1321,Sales,1,4,Life Sciences,4,1,86,3,2,Sales Executive,2,Married,4440,7636,0,0,15,3,1,2,16,3,3,15,13,5,8,0,0.0017154841,0,Low,50.4,Medium,Restructuring Candidate
35,Non-Travel,1180,Research & Development,2,2,Medical,2,1,90,3,2,Manufacturing Director,4,Divorced,5762,24442,2,0,14,3,3,1,15,6,3,7,7,1,7,0,4.3170985e-05,0,Low,35.4,Medium,Stable
43,Travel_Rarely,574,Research & Development,11,3,Life Sciences,1,1,30,3,3,Healthcare Representative,3,Married,7510,16873,1,0,17,3,2,1,10,1,3,10,9,0,9,0,0.01233268,0,Low,38.8,Medium,Stable
46,Travel_Rarely,706,Research & Development,2,2,Life Sciences,4,1,82,3,3,Manufacturing Director,4,Divorced,8578,19989,3,0,14,3,3,1,12,4,2,9,8,4,7,0,0.0050466014,0,Low,35.4,Medium,Stable
34,Non-Travel,1375,Sales,10,3,Life Sciences,4,1,87,3,2,Sales Executive,3,Divorced,4001,12313,1,1,14,3,3,1,15,3,3,15,14,0,7,0,0.00048755636,0,Low,50.4,Medium,Restructuring Candidate
49,Travel_Frequently,1023,Sales,2,3,Medical,4,1,63,2,2,Sales Executive,2,Married,5390,13243,2,0,14,3,4,0,17,3,2,9,6,0,8,0,0.0070755607,0,Low,50.4,Medium,Restructuring Candidate
32,Travel_Rarely,120,Research & Development,6,5,Life Sciences,3,1,43,3,1,Research Scientist,3,Single,3038,12430,3,0,20,4,1,0,8,2,3,5,4,1,4,0,0.0028456375,0,Low,29.4,Low,Stable
45,Travel_Frequently,1297,Research & Development,1,4,Medical,2,1,44,3,2,Healthcare Representative,3,Single,5399,14511,4,0,12,3,3,0,12,3,3,4,2,0,3,0,0.005597691,0,Low,38.8,Medium,Stable
29,Travel_Rarely,590,Research & Development,4,3,Technical Degree,4,0,91,2,1,Research Scientist,1,Divorced,2109,10007,1,0,13,3,3,1,1,2,3,1,0,0,0,0,0.1061706,0,Low,29.4,Low,Stable
36,Non-Travel,1351,Research & Development,9,4,Life Sciences,1,1,66,4,1,Laboratory Technician,2,Married,2810,9238,1,0,22,4,2,0,5,3,3,5,4,0,2,0,0.35363075,0,Medium,68.4,High,Restructuring Candidate
35,Non-Travel,1225,Research & Development,2,4,Life Sciences,4,0,61,3,2,Healthcare Representative,1,Divorced,5093,4761,2,0,11,3,1,1,16,2,4,1,0,0,0,0,0.013078741,0,Low,38.8,Medium,Stable
22,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,3,1,48,2,1,Research Scientist,4,Married,2853,4223,0,1,11,3,2,1,1,5,3,0,0,0,0,1,0.19299275,0,Low,29.4,Low,Stable
37,Travel_Rarely,799,Research & Development,1,3,Technical Degree,2,0,59,3,3,Manufacturing Director,4,Single,7491,23848,4,0,17,3,4,0,12,3,4,6,5,1,2,0,0.0012962556,0,Low,35.4,Medium,Stable
23,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,1,83,3,1,Research Scientist,4,Divorced,2904,16092,1,0,12,3,3,2,4,2,2,4,2,0,2,0,0.00033364724,0,Low,29.4,Low,Stable
21,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,1,49,3,1,Sales Representative,3,Single,3447,24444,1,0,11,3,3,0,3,2,3,3,2,1,2,0,0.07761153,0,Low,69.8,High,Restructuring Candidate
56,Travel_Frequently,1240,Research & Development,9,3,Medical,1,0,63,3,1,Research Scientist,3,Married,2942,12154,2,0,19,3,2,1,18,4,3,5,4,0,3,0,0.017963879,0,Low,29.4,Low,Stable
51,Travel_Frequently,541,Sales,2,3,Marketing,2,1,52,3,3,Sales Executive,2,Married,10596,15395,2,0,11,3,2,0,14,5,3,4,2,3,2,0,0.35615808,0,Medium,50.4,Medium,Restructuring Candidate
29,Travel_Rarely,906,Research & Development,10,3,Life Sciences,4,0,92,2,1,Research Scientist,1,Single,2404,11479,6,1,20,4,3,0,3,5,3,0,0,0,0,1,0.99053776,1,High,29.4,Low,Retention Priority
50,Travel_Rarely,804,Research & Development,9,3,Life Sciences,1,1,64,3,1,Laboratory Technician,4,Married,2380,20165,4,0,18,3,2,0,8,5,3,1,0,0,0,0,0.24260297,0,Low,68.4,High,Restructuring Candidate
26,Travel_Rarely,703,Sales,28,2,Marketing,1,1,66,3,2,Sales Executive,2,Married,6272,7428,1,0,20,4,4,2,6,5,4,5,3,1,4,0,0.06437095,0,Low,50.4,Medium,Restructuring Candidate
39,Travel_Frequently,672,Research & Development,7,2,Medical,3,1,54,2,5,Manager,4,Married,19272,21141,1,0,15,3,1,1,21,2,3,21,9,13,3,0,0.0022493748,0,Low,25.4,Low,Stable
49,Travel_Rarely,722,Research & Development,25,4,Life Sciences,3,0,84,3,1,Laboratory Technician,1,Married,3211,22102,1,0,14,3,4,1,10,3,2,9,6,1,4,0,0.04296195,0,Low,68.4,High,Restructuring Candidate
29,Travel_Rarely,718,Research & Development,8,1,Medical,2,1,79,2,2,Manufacturing Director,4,Married,5056,17689,1,1,15,3,3,1,10,2,2,10,7,1,2,0,0.013401786,0,Low,35.4,Medium,Stable
32,Travel_Rarely,529,Research & Development,2,3,Technical Degree,4,1,78,3,1,Research Scientist,1,Single,2439,11288,1,0,14,3,4,0,4,4,3,4,2,1,2,0,0.0045833266,0,Low,29.4,Low,Stable
30,Travel_Rarely,1092,Research & Development,10,3,Medical,1,0,64,3,3,Manufacturing Director,3,Single,9667,2739,9,0,14,3,2,0,9,3,3,7,7,0,2,0,0.12248097,0,Low,35.4,Medium,Stable
27,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,0,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,0,0.3016394,0,Low,68.4,High,Restructuring Candidate
34,Travel_Rarely,937,Sales,1,3,Marketing,1,1,32,3,3,Sales Executive,4,Single,9888,6770,1,0,21,4,1,0,14,3,2,14,8,2,1,0,0.05393784,0,Low,50.4,Medium,Restructuring Candidate
43,Travel_Rarely,920,Research & Development,3,3,Life Sciences,3,1,96,1,5,Research Director,4,Married,19740,18625,3,0,14,3,2,1,25,2,3,8,7,0,7,0,0.00037212542,0,Low,50.0,Medium,Restructuring Candidate
33,Travel_Rarely,603,Sales,9,4,Marketing,1,0,77,3,2,Sales Executive,1,Single,8224,18385,0,1,17,3,1,0,6,3,3,5,2,0,3,1,0.8342213,1,High,50.4,Medium,Double Exposure
31,Travel_Frequently,793,Sales,20,3,Life Sciences,3,1,67,4,1,Sales Representative,4,Married,2791,21981,0,0,12,3,1,1,3,4,3,2,2,2,2,0,0.17825522,0,Low,69.8,High,Restructuring Candidate
43,Travel_Rarely,244,Human Resources,2,3,Life Sciences,2,1,97,3,1,Human Resources,4,Single,3539,5033,0,0,13,3,2,0,10,5,3,9,7,1,8,0,0.0045469427,0,Low,55.2,Medium,Restructuring Candidate
44,Travel_Rarely,170,Research & Development,1,4,Life Sciences,2,1,78,4,2,Healthcare Representative,1,Married,5033,9364,2,0,15,3,4,1,10,5,3,2,0,2,2,0,0.00044242086,0,Low,38.8,Medium,Stable
36,Travel_Rarely,1456,Sales,13,5,Marketing,2,1,96,2,2,Sales Executive,1,Divorced,6134,8658,5,1,13,3,2,3,16,3,3,2,2,2,2,1,0.3106863,0,Low,50.4,Medium,Restructuring Candidate
56,Travel_Rarely,1255,Research & Development,1,2,Life Sciences,1,0,90,3,1,Research Scientist,1,Married,2066,10494,2,0,22,4,4,1,5,3,4,3,2,1,0,0,0.0039919675,0,Low,29.4,Low,Stable
37,Travel_Rarely,1372,Research & Development,1,3,Life Sciences,4,0,42,3,1,Research Scientist,4,Single,2115,15881,1,0,12,3,2,0,17,3,3,17,12,5,7,0,0.0001494319,0,Low,29.4,Low,Stable
